id,score,date
10007947-ten,43.55,2007-08-30
10007985-happening,48.08,2011-11-16
10008005-moliere,54.46,2011-11-17
10008065-the_stranger,100.0,2015-04-07
10008080-popcorn,20.0,2007-02-27
10008097-lady_chatterley,69.8,2007-09-21
10008126-straightheads,36.0,2007-04-27
10008200-spiral,40.0,2008-02-08
10008234-alexandra,71.67,2011-11-16
10008259-festival,87.5,2008-10-18
10008290-salon,34.68,2007-08-06
10008335-live,45.0,2008-09-19
10008343-miriam,33.33,2011-11-17
10008354-orange_winter,76.25,2007-06-04
10008390_blood_and_tears,70.0,2007-06-15
10008411-black_moon,60.0,2007-06-23
10008423-cool_school,65.25,2011-11-17
10008466-deep_end,81.83,2011-12-12
10008496-pathology,51.67,2011-11-17
10008502-christmas_carol,63.12,2018-02-06
10008507-deep_water,79.11,2008-01-18
10008587-beverly_hills_chihuahua,50.53,2009-01-16
10008601-fireflies_in_the_garden,42.66,2011-10-14
10008606-eye,40.42,2008-04-25
10008611-my_best_friends_girl,36.0,2011-11-17
10008617-midnight_meat_train,46.67,2008-10-31
10008618-return,53.65,2011-11-24
10008619-partner,50.0,2019-01-25
10008621-run_fat_boy_run,54.35,2011-11-17
10008633-if_i_didnt_care,41.39,2007-09-28
10008652-closing_escrow,60.83,2007-08-30
10008653-hey_baby,50.0,2019-01-25
10008655-whiteout,36.25,2011-11-17
10008660-price_of_sugar,65.94,2011-11-18
10008661-randy_and_the_mob,35.0,2007-11-01
10008667-black_irish,56.25,2007-10-26
10008669-i'll_believe_you,50.0,2007-11-09
10008678-wild_child,37.92,2008-09-19
10008698-king_corn,72.08,2011-11-18
10008699-terrors_advocate,77.22,2011-11-17
10008700-darfur_now,67.62,2011-11-18
10008701-laaga_chunari_mein_daag,25.0,2019-01-25
10008703-rails_and_ties,45.71,2011-11-18
10008705-mr_untouchable,64.55,2011-11-18
10008706-house,30.0,2008-11-20
10008708-o_jerusalem,46.11,2011-11-18
10008736-beauty_remains,49.38,2007-09-21
10008742-my_sister_eileen,60.0,2007-08-25
10008744-canvas,64.58,2011-11-18
10008745-tough_enough,62.0,2007-09-21
10008747-skid_row,65.0,2009-05-13
10008748-saawariya,48.75,2007-11-13
10008752-aaja_nachle,75.0,2019-01-29
10008754-flawless,57.32,2011-11-17
10008760-what_happens_in_vegas,41.92,2011-11-18
10008785-appaloosa,70.29,2009-03-13
10008820-visitor,78.3,2011-11-17
10008830-bill,40.0,2008-10-18
10008839-american_venus,50.0,2007-10-12
10008849-married_life,62.12,2011-11-17
10008856-badland,42.92,2008-10-18
10008864-shake_hands_with_the_devil,56.25,2010-11-12
10008924-oxford_murders,36.25,2010-08-13
10008934-legacy,47.5,2007-09-14
10008938-turnabout,40.0,2007-10-06
10008954-untraceable,42.22,2011-11-18
10008991-informers,33.21,2011-11-18
10008992-meeting_resistance,65.62,2011-11-18
10009001-the_freshman,78.33,2013-08-01
10009002-actresses,50.0,2007-10-10
10009005-a_bloody_aria,54.44,2011-11-17
10009049-noodle,70.0,2009-06-26
10009055-rocker,54.82,2011-11-17
10009063-perfect_holiday,39.0,2011-11-17
10009066-la_graine_et_le_mulet,84.11,2011-11-17
10009083-land_of_the_lost,39.53,2013-01-22
10009090-lynch,64.72,2007-11-22
10009105-between_two_worlds,60.0,2007-11-03
10009132-rec,53.33,2015-09-29
10009138-look,50.36,2008-03-27
1000915-and_god_created_woman,50.0,2000-01-01
10009151-box,50.36,2011-11-24
10009169-man_in_the_chair,51.94,2011-11-17
10009172-undoing,55.62,2008-01-25
10009176-black_water,54.0,2008-02-22
10009186-skippy,80.0,2007-12-01
10009192-21,52.67,2008-10-18
10009193-knee_deep,80.0,2009-05-13
10009210-duchess_of_langeais,74.56,2011-11-17
10009212-ben_x,50.77,2011-11-16
10009225-body_of_lies,58.53,2011-11-17
10009239-passengers,35.0,2008-10-30
10009244-the_grand,55.0,2008-04-04
10009253-the_hammer,62.78,2008-03-21
10009254-shutter,41.14,2018-10-18
10009261-asylum,20.0,2007-12-20
10009274-priest,36.91,2018-08-24
10009303-duska,68.75,2009-04-10
10009318-the_aerial,46.67,2008-08-01
10009323-broken,35.0,2009-01-30
10009334-the_escapist,55.68,2011-11-17
10009355-sugar,78.83,2014-05-09
10009362-saving_luna,68.75,2009-02-13
10009383-recycle,62.5,2008-08-08
10009419-mommas_man,80.73,2011-11-17
10009420-quid_pro_quo,50.56,2011-11-17
10009421-red,60.17,2008-08-29
10009422-reversion,55.0,2011-06-09
10009426-guitar,42.5,2008-11-07
10009445-my_brothers_wedding,80.0,2011-11-17
10009462-g_force,45.0,2011-11-18
10009469-the_other_man,43.25,2011-11-17
10009493-duchess,63.2,2011-11-17
10009516-women,41.57,2008-10-31
10009523-normal,50.0,2008-02-08
10009526-public_enemies,68.61,2009-07-31
